"formatted_address","type","tot","lat","lon"
"Brighton Beach, Brooklyn, NY, USA","neighborhood",61,40.5780706,-73.9596565
"Kew Gardens, Queens, NY, USA","neighborhood",58,40.7056950,-73.8272029
"New York World Building, New York, NY 10038, USA","premise",57,40.7120000,-74.0053000
"Bleecker Street, New York, NY, USA","route",56,40.7287862,-74.0004671
"Harlem River, New York, NY, USA","natural_feature",56,40.8417154,-73.9304711
"Midtown, New York, NY, USA","neighborhood",56,40.7549309,-73.9840195
"Morningside Heights, New York, NY, USA","neighborhood",54,40.8089564,-73.9624327
"Inwood, New York, NY, USA","neighborhood",53,40.8677145,-73.9212019
"Allen Street, New York, NY 10002, USA","route",52,40.7187154,-73.9904645
"FDR Drive, New York, NY, USA","route",52,40.7398874,-73.9727162
"Greenpoint, Brooklyn, NY, USA","neighborhood",52,40.7245448,-73.9418603
"Battery Park, New York, NY, USA","park",52,40.7032775,-74.0170279
"Far Rockaway, Queens, NY, USA","neighborhood",51,40.5998931,-73.7448437
"Trump Tower, 725 5th Avenue, New York, NY 10022, USA","point_of_interest",50,40.7623676,-73.9739991
"Williamsburg Bridge, Brooklyn, NY 11249, USA","point_of_interest",49,40.7136902,-73.9726155
"New York Public Library, New York, NY 10018, USA","library",49,40.7531823,-73.9822534
"Myrtle Avenue, New York, NY, USA","route",49,40.6998410,-73.9086830
"Midtown East, New York, NY, USA","neighborhood",47,40.7540369,-73.9668408
"Governors Island, New York, NY, USA","neighborhood",47,40.6894501,-74.0167920
"East New York, Brooklyn, NY, USA","neighborhood",47,40.6568312,-73.8830701
"Gracie Mansion Conservancy, 88th Street and E End Ave, New York, NY 10028, USA","museum",45,40.7761101,-73.9432478
"East Broadway, New York, NY 10002, USA","subway_station",45,40.7137150,-73.9901730
"Central Road, New York, NY 10035, USA","route",44,40.7941784,-73.9210386
"New England Society, 20 West 44th Street #409, New York, NY 10036, USA","point_of_interest",44,40.7554740,-73.9813357
"Barrow Street, New York, NY 10014, USA","route",43,40.7316015,-74.0060281
"Christopher Street, New York, NY, USA","route",43,40.7333948,-74.0042842
"Herald Square, New York, NY 10001, USA","point_of_interest",43,40.7503818,-73.9876239
