"formatted_address","type","tot","lat","lon"
"Rockaway Beach, Queens, NY 11693, USA","neighborhood",9,40.5867247,-73.8114993
"Suffolk Street, New York, NY 10002, USA","route",8,40.7193056,-73.9859059
"Manhattan Bridge, Manhattan Bridge, New York, NY 11201, USA","point_of_interest",7,40.7074959,-73.9907742
"Chrystie Street, New York, NY 10002, USA","route",6,40.7199134,-73.9929374
"Jackson Heights, Queens, NY, USA","neighborhood",6,40.7556818,-73.8830701
"Horatio Street, New York, NY 10014, USA","route",6,40.7387554,-74.0064852
"Foley Square, New York, NY, USA","route",6,40.7143433,-74.0026137
"Barrow Street, New York, NY 10014, USA","route",5,40.7316015,-74.0060281
"Eastern Parkway, Brooklyn, NY, USA","route",4,40.6691843,-73.9372946
"Bensonhurst, Brooklyn, NY, USA","neighborhood",4,40.6112691,-73.9976946
"Pershing Square, New York, NY 10168, USA","route",3,40.7519306,-73.9776510
"Theater District, New York, NY, USA","neighborhood",3,40.7590110,-73.9844722
"Ozone Park, Queens, NY, USA","neighborhood",3,40.6794072,-73.8507279
"East Harlem, New York, NY, USA","neighborhood",3,40.7957399,-73.9389213
"Seventieth Street Playground, New York, NY 10023, USA","park",3,40.7773894,-73.9840130
"Lower Manhattan, New York, NY, USA","neighborhood",3,40.7230084,-74.0006328
"World Trade Center, New York, NY, USA","neighborhood",2,40.7127780,-74.0135000
"Midtown, New York, NY, USA","neighborhood",1,40.7549309,-73.9840195
"Gracie Mansion Conservancy, 88th Street and E End Ave, New York, NY 10028, USA","museum",1,40.7761101,-73.9432478
"Washington Square Park, New York, NY, USA","park",1,40.7308228,-73.9973320
"Borough Park, Brooklyn, NY, USA","neighborhood",1,40.6323009,-73.9888797
"Bethune Street, New York, NY 10014, USA","route",1,40.7369517,-74.0074722
